Assay Definition

Assay Description:
1L FLiBe BABY Experiment standard count, beginning with run FLB-1
Assay Type: DPM (Single)
Report Name: Standard report
Output Data Path: C:\Packard\Tricarb\Results\Default\NEW_Flibe_Long\20260119_1830\Replay_20260123_181319
Raw Results Path: C:\Packard\Tricarb\Results\Default\NEW_Flibe_Long\20260119_1830\20260119_1830.results
Comma-Delimited File Name: C:\Packard\Tricarb\Results\Default\NEW_Flibe_Long\20260119_1830\Replay_20260123_181319\RE_1L-FLB_IV_1-11-4_1-12_THRU_1-24_1-25-1_-2_-3.csv
Assay File Name: C:\Packard\TriCarb\Assays\NEW_Flibe_Long.lsa

Additional Data Files Generated with this Protocol:
Standard report
		[Excel]	RE_1L-FLB_IV_1-11-4_1-12_THRU_1-24_1-25-1_-2_-3.csv


Count Conditions

Nuclide: LIBRA UG LLT NM      
   Quench Indicator: tSIE
   External Std Terminator (sec): 0.5 2s%
   Pre-Count Delay (min): 0.00
Quench Set:                   
   Low Energy: 3H-UG-LLT-NM-C
Count Time (min): 100.00
Count Mode: Normal                                          
Assay Count Cycles: 1         Repeat Sample Count: 1        
Number of Vials/Sample: 1     Calculate % Reference: Off                                  


Background Subtract: Off
Low CPM Threshold: Off
2 Sigma % Terminator: Off

Regions         LL       UL
A              0.5      5.0
B              0.5     10.0
C              0.0     18.6


Count Corrections

Static Controller: On         Luminescence Correction: On     GCT: n/a
Colored Samples: Off          Heterogeneity Monitor: Off      PAC: Disabled
Coincidence Time (nsec): 18   Delay Before Burst (nsec): 75   PAC Strength: n/a   Auxiliary Spectrum: n/a


Missing vial 1.
Missing vial 2.
Missing vial 3.
Missing vial 4.
Missing vial 5.
Missing vial 6.
Missing vial 7.
Missing vial 8.
Missing vial 9.
Missing vial 10.
S#,SMPL_ID,Bq:1,CPMA,A:2S%,LUM,tSIE,Eff Nuc1 In A,Count Time,DPM1
11,1L-FLB-IV_1-11-4,0.286,4.270,9.72,0,288.99,24.88,100,17.165
Missing vial 12.
13,1L-FLB-IV_1-12-1,0.321,5.000,8.98,0,301.36,25.94,100,19.277
14,1L-FLB-IV_1-12-2,0.249,3.740,10.40,0,291.07,25.05,100,14.928
15,1L-FLB-IV_1-12-3,0.658,9.850,6.40,0,289.88,24.95,100,39.475
16,1L-FLB-IV_1-12-4,0.281,4.200,9.81,0,289.70,24.94,100,16.842
Missing vial 17.
18,1L-FLB-IV_1-13-1,0.315,4.870,9.10,0,299.43,25.77,100,18.897
19,1L-FLB-IV_1-13-2,0.274,4.120,9.90,0,290.74,25.03,100,16.463
20,1L-FLB-IV_1-13-3,0.528,7.830,7.18,0,287.39,24.74,100,31.653
21,1L-FLB-IV_1-13-4,0.293,4.380,9.60,0,289.04,24.88,100,17.604
Missing vial 22.
23,1L-FLB-IV_1-14-1,0.412,5.190,8.98,0,248.33,21.01,100,24.703
24,1L-FLB-IV_1-14-2,0.273,4.080,9.95,0,289.47,24.92,100,16.374
25,1L-FLB-IV_1-14-3,0.603,9.020,6.67,0,289.68,24.94,100,36.174
26,1L-FLB-IV_1-14-4,0.293,4.380,9.64,0,289.38,24.91,100,17.584
Missing vial 27.
28,1L-FLB-IV_1-15-1,0.315,4.860,9.17,0,298.57,25.70,100,18.912
29,1L-FLB-IV_1-15-2,0.271,4.050,9.99,0,289.57,24.93,100,16.249
30,1L-FLB-IV_1-15-3,0.283,4.180,9.90,0,286.36,24.65,100,16.960
31,1L-FLB-IV_1-15-4,0.253,3.760,10.40,0,287.42,24.74,100,15.198
Missing vial 32.
33,1L-FLB-IV_1-16-1,0.315,4.940,9.03,0,303.43,26.12,100,18.916
34,1L-FLB-IV_1-16-2,0.262,3.900,10.20,0,288.35,24.82,100,15.712
