Assay Definition

Assay Description:
1L FLiBe BABY Experiment standard count, beginning with run FLB-1
Assay Type: DPM (Single)
Report Name: Standard report
Output Data Path: C:\Packard\Tricarb\Results\Default\NEW_Flibe_Long\20260123_2014\Replay_20260130_133502
Raw Results Path: C:\Packard\Tricarb\Results\Default\NEW_Flibe_Long\20260123_2014\20260123_2014.results
Comma-Delimited File Name: C:\Packard\Tricarb\Results\Default\NEW_Flibe_Long\20260123_2014\Replay_20260130_133502\RE_1L-FLB_IV_1-25-4_1-26_THRU_1-41.csv
Assay File Name: C:\Packard\TriCarb\Assays\NEW_Flibe_Long.lsa

Additional Data Files Generated with this Protocol:
Standard report
		[Excel]	RE_1L-FLB_IV_1-25-4_1-26_THRU_1-41.csv


Count Conditions

Nuclide: LIBRA UG LLT NM      
   Quench Indicator: tSIE
   External Std Terminator (sec): 0.5 2s%
   Pre-Count Delay (min): 0.00
Quench Set:                   
   Low Energy: 3H-UG-LLT-NM-C
Count Time (min): 100.00
Count Mode: Normal                                          
Assay Count Cycles: 1         Repeat Sample Count: 1        
Number of Vials/Sample: 1     Calculate % Reference: Off                                  


Background Subtract: Off
Low CPM Threshold: Off
2 Sigma % Terminator: Off

Regions         LL       UL
A              0.5      5.0
B              0.5     10.0
C              0.0     18.6


Count Corrections

Static Controller: On         Luminescence Correction: On     GCT: n/a
Colored Samples: Off          Heterogeneity Monitor: Off      PAC: Disabled
Coincidence Time (nsec): 18   Delay Before Burst (nsec): 75   PAC Strength: n/a   Auxiliary Spectrum: n/a


Missing vial 1.
Missing vial 2.
Missing vial 3.
Missing vial 4.
Missing vial 5.
Missing vial 6.
Missing vial 7.
Missing vial 8.
S#,SMPL_ID,Bq:1,CPMA,A:2S%,LUM,tSIE,Eff Nuc1 In A,Count Time,DPM1
9,1L-FLB-IV_1-25-4,0.285,4.270,9.72,0,289.98,24.96,100,17.107
Missing vial 10.
11,1L-FLB-IV_1-26-1,0.430,7.020,7.57,0,316.78,27.18,100,25.825
12,1L-FLB-IV_1-26-2,0.274,4.150,9.86,0,293.53,25.27,100,16.426
13,1L-FLB-IV_1-26-3,0.397,5.980,8.21,0,291.71,25.11,100,23.816
14,1L-FLB-IV_1-26-4,0.308,4.610,9.36,0,289.86,24.95,100,18.477
Missing vial 15.
16,1L-FLB-IV_1-27-1,0.333,5.450,8.63,0,318.78,27.30,100,19.963
17,1L-FLB-IV_1-27-2,0.270,4.050,9.99,0,290.10,24.97,100,16.219
18,1L-FLB-IV_1-27-3,0.316,4.740,9.22,0,290.47,25.00,100,18.958
19,1L-FLB-IV_1-27-4,0.260,3.960,10.10,0,294.91,25.38,100,15.601
Missing vial 20.
21,1L-FLB-IV_1-28-1,0.407,7.240,7.47,0,360.47,29.67,100,24.398
22,1L-FLB-IV_1-28-2,0.334,5.030,8.95,0,291.94,25.13,100,20.017
23,1L-FLB-IV_1-28-3,0.341,5.080,8.91,0,288.73,24.85,100,20.440
24,1L-FLB-IV_1-28-4,0.290,4.330,9.70,0,288.80,24.86,100,17.418
Missing vial 25.
26,1L-FLB-IV_1-29-1,0.284,4.390,9.61,0,299.48,25.78,100,17.032
27,1L-FLB-IV_1-29-2,0.274,4.110,9.91,0,290.77,25.03,100,16.421
28,1L-FLB-IV_1-29-3,0.246,4.050,10.08,0,320.65,27.41,100,14.775
29,1L-FLB-IV_1-29-4,0.254,3.800,10.31,0,290.16,24.98,100,15.215
Missing vial 30.
31,1L-FLB-IV_1-30-1,0.269,4.160,9.85,0,299.22,25.75,100,16.153
32,1L-FLB-IV_1-30-2,0.275,4.130,9.89,0,290.43,25.00,100,16.520
33,1L-FLB-IV_1-30-3,0.241,3.950,10.16,0,319.89,27.37,100,14.434
34,1L-FLB-IV_1-30-4,0.252,3.770,10.36,0,289.89,24.95,100,15.108
Missing vial 35.
36,1L-FLB-IV_1-31-1,0.326,5.140,8.86,0,304.94,26.24,100,19.585
37,1L-FLB-IV_1-31-2,0.267,4.030,10.01,0,291.82,25.12,100,16.044
38,1L-FLB-IV_1-31-3,0.284,4.220,9.78,0,288.21,24.81,100,17.010
39,1L-FLB-IV_1-31-4,0.289,4.300,9.69,0,288.20,24.81,100,17.333
Missing vial 40.
41,1L-FLB-IV_1-32-1,0.330,5.410,8.63,0,319.70,27.35,100,19.777
42,1L-FLB-IV_1-32-2,0.280,4.230,9.77,0,292.07,25.14,100,16.825
43,1L-FLB-IV_1-32-3,0.261,3.900,10.18,0,288.98,24.87,100,15.678
44,1L-FLB-IV_1-32-4,0.282,4.260,9.74,0,292.21,25.15,100,16.937
Missing vial 45.
46,1L-FLB-IV_1-33-1,0.333,5.680,8.45,0,337.51,28.41,100,19.996
47,1L-FLB-IV_1-33-2,0.260,3.930,10.14,0,292.97,25.22,100,15.584
48,1L-FLB-IV_1-33-3,0.292,4.360,9.67,0,288.94,24.87,100,17.530
49,1L-FLB-IV_1-33-4,0.280,4.220,9.78,0,292.19,25.15,100,16.779
Missing vial 50.
51,1L-FLB-IV_1-34-1,0.300,5.000,9.03,0,326.89,27.78,100,17.999
52,1L-FLB-IV_1-34-2,0.292,4.430,9.55,0,293.37,25.25,100,17.543
53,1L-FLB-IV_1-34-3,0.285,4.290,9.70,0,291.15,25.06,100,17.118
54,1L-FLB-IV_1-34-4,0.274,4.130,9.89,0,291.68,25.11,100,16.450
Missing vial 55.
56,1L-FLB-IV_1-35-1,0.289,4.070,10.03,0,272.67,23.44,100,17.365
57,1L-FLB-IV_1-35-2,0.270,4.060,9.97,0,291.69,25.11,100,16.171
58,1L-FLB-IV_1-35-3,0.235,3.880,10.21,0,322.30,27.51,100,14.105
59,1L-FLB-IV_1-35-4,0.260,3.910,10.17,0,291.43,25.09,100,15.587
Missing vial 60.
61,1L-FLB-IV_1-36-1,0.259,4.200,9.81,0,314.06,27.02,100,15.543
62,1L-FLB-IV_1-36-2,0.261,3.920,10.15,0,290.89,25.04,100,15.656
63,1L-FLB-IV_1-36-3,0.210,3.480,10.78,0,324.01,27.61,100,12.604
64,1L-FLB-IV_1-36-4,0.288,4.370,9.61,0,294.21,25.32,100,17.257
Missing vial 65.
66,1L-FLB-IV_1-37-1,0.290,4.500,9.53,0,300.38,25.85,100,17.406
67,1L-FLB-IV_1-37-2,0.282,4.260,9.74,0,292.19,25.15,100,16.938
68,1L-FLB-IV_1-37-3,0.254,4.200,9.81,0,322.98,27.55,100,15.246
69,1L-FLB-IV_1-37-4,0.260,3.920,10.15,0,291.77,25.11,100,15.609
Missing vial 70.
71,1L-FLB-IV_1-38-1,0.283,4.350,9.63,0,298.13,25.66,100,16.952
72,1L-FLB-IV_1-38-2,0.273,4.120,9.90,0,292.12,25.14,100,16.385
73,1L-FLB-IV_1-38-3,0.226,3.750,10.38,0,324.93,27.66,100,13.556
74,1L-FLB-IV_1-38-4,0.276,4.160,9.85,0,291.69,25.11,100,16.569
Missing vial 75.
76,1L-FLB-IV_1-39-1,0.258,4.290,9.70,0,326.22,27.74,100,15.465
77,1L-FLB-IV_1-39-2,0.301,4.550,9.42,0,292.61,25.19,100,18.065
78,1L-FLB-IV_1-39-3,0.248,4.100,9.93,0,324.00,27.61,100,14.850
79,1L-FLB-IV_1-39-4,0.284,4.270,9.72,0,291.21,25.07,100,17.035
Missing vial 80.
81,1L-FLB-IV_1-40-1,0.249,4.800,9.17,0,409.78,32.13,100,14.938
82,1L-FLB-IV_1-40-2,0.319,4.850,9.12,0,294.12,25.32,100,19.158
83,1L-FLB-IV_1-40-3,0.288,4.370,9.61,0,293.62,25.27,100,17.291
84,1L-FLB-IV_1-40-4,0.272,4.110,9.91,0,292.54,25.18,100,16.322
Missing vial 85.
86,1L-FLB-IV_1-41-1,0.243,4.370,9.61,0,365.24,29.93,100,14.599
87,1L-FLB-IV_1-41-2,0.301,4.570,9.40,0,294.41,25.34,100,18.034
88,1L-FLB-IV_1-41-3,0.299,4.500,9.47,0,291.35,25.08,100,17.944
89,1L-FLB-IV_1-41-4,0.306,4.610,9.36,0,291.96,25.13,100,18.344
